wavenumber (1/cm)	n	k
0.	4.437958700459639	0.
0.16673831542129636	4.437958700459639	0.
0.3334766308425927	4.437958700459639	0.
0.5002149462638891	1.461982127814355	1.0904861465940578
0.6669532616851854	2.811008070196018	0.502637714506378
0.8336915771064818	4.437958700459639	0.
1.0004298925277781	2.8008042843895047	0.43417307065447547
1.1671682079490746	2.584258783626543	0.4829410891732029
1.3339065233703709	4.221413199696677	0.04876801851872739
1.5006448387916673	4.437958700459639	0.
1.6673831542129636	4.437958700459639	0.
1.83412146963426	4.437958700459639	0.
2.0008597850555563	3.924600859841206	0.2843439926265438
2.167598100476853	3.6794102499544397	0.37902870096172214
2.334336415898149	3.968681386963678	0.1837501850751566
2.501074731319446	4.092626408642189	0.22531963249326714
2.6678130467407417	4.218720760852042	0.49409356314875386
2.834551362162038	4.015233770070137	0.6126558542814262
3.0012896775833346	3.892316031424664	0.4083690598219988
3.168027993004631	4.050422458446022	0.26979179479487475
3.334766308425927	4.161050736744332	0.23722278908901062
3.501504623847224	4.2294808000731825	0.2935922915870863
3.66824293926852	4.1818929857182665	0.39112206927543725
3.8349812546898163	4.091302146504147	0.38816856619660955
4.001719570111113	4.1088251959138695	0.29773157531773503
4.168457885532409	4.228326100962963	0.2806879301354229
4.335196200953706	4.319636472126778	0.40290718507649936
4.501934516375002	4.195485628583333	0.4850656773484935
4.668672831796298	4.072341460499839	0.3867208539170255
4.835411147217595	4.131354621388275	0.2697338849364685
5.002149462638892	4.213900495989486	0.2462825715347805
5.168887778060187	4.240742560777706	0.3807462877535327
5.335626093481483	4.100520227269338	0.3848584356138639
5.50236440890278	4.0153598668782005	0.2125799394497899
5.669102724324076	4.103165281111901	0.1412392469032085
5.835841039745373	4.185199828199686	0.15982435200265305
6.002579355166669	4.174005295515263	0.23168441385599206
6.169317670587965	4.119886005294557	0.23242896097399562
6.336055986009262	4.118864236507703	0.18445083707195503
6.5027943014305585	4.142348041585706	0.1630704891221444
6.669532616851854	4.1664199750755735	0.15663089034906008
6.836270932273151	4.187948920920958	0.15901198008425332
7.003009247694448	4.205623668378321	0.18315481790377047
7.1697475631157435	4.170884986655141	0.20835613453030913
7.33648587853704	4.134046115208531	0.16900116388663405
7.503224193958337	4.1671546819661245	0.11810394242980049
7.669962509379633	4.22098005003604	0.11588960705183862
7.836700824800929	4.250819181551799	0.17124135655150097
8.003439140222225	4.1920586229906	0.20175797338452967
8.170177455643522	4.150565759214734	0.1466978805041264
8.336915771064819	4.194802809453077	0.1090177157764257
8.503654086486113	4.237975085546622	0.12374528283993785
8.670392401907412	4.240948271104734	0.18660365790600525
8.837130717328707	4.1720857543614995	0.19414239727881202
9.003869032750003	4.146645410702892	0.12413305720437817
9.1706073481713	4.193919308168743	0.09442079234429632
9.337345663592597	4.233835676166615	0.11265061652556412
9.504083979013892	4.222147622019289	0.16654797456788883
9.67082229443519	4.173257488251695	0.15962015778270022
9.837560609856485	4.1773154729100686	0.1052103121506223
10.004298925277784	4.214124136937315	0.09777091174802385
10.171037240699079	4.236607704565086	0.11901628049196761
10.337775556120373	4.219161829606287	0.15129169708510892
10.504513871541672	4.185273894684185	0.14004800140238513
10.671252186962967	4.189671640814595	0.10399207594344403
10.837990502384264	4.217872699847204	0.093679549735421
11.00472881780556	4.2408337248572465	0.11733755098925998
11.171467133226857	4.210879272595836	0.1405280070341498
11.338205448648152	4.1829410103942966	0.11544545169974092
11.50494376406945	4.205179306113844	0.08945355430824972
11.671682079490745	4.22759725732496	0.09584246475383257
11.838420394912042	4.226672713542053	0.12061571364271531
12.005158710333339	4.200560791421872	0.12109903914122548
12.171897025754635	4.195287890649558	0.09458592120593667
12.33863534117593	4.214898453991623	0.08530188668638065
12.505373656597229	4.2273555992353185	0.09832024430842917
12.672111972018524	4.212404104292036	0.11272855587316237
12.83885028743982	4.1955895737340665	0.09821153159659995
13.005588602861117	4.207051653647895	0.07860339781864231
13.172326918282414	4.223481442870961	0.08224747594186631
13.339065233703709	4.2232027711624855	0.09566459224746218
13.505803549125007	4.209855945714629	0.0958707305083103
13.672541864546302	4.207440565398943	0.0818627009415839
13.839280179967597	4.218619197914063	0.07404931931833472
14.006018495388895	4.229944248797354	0.08054853474158333
14.17275681081019	4.224344074942663	0.0935209444473052
14.339495126231487	4.21049853354554	0.08825724305802281
14.506233441652784	4.213727569871405	0.07298415176194047
14.67297175707408	4.2276325734116	0.07090976487326814
14.839710072495375	4.23296811041726	0.08374889435936772
15.006448387916674	4.219165835767704	0.08931017134890168
15.173186703337969	4.211979175922553	0.07529990721455365
15.339925018759265	4.222858324869067	0.06631141832902437
15.506663334180562	4.232335192173702	0.07100115740708667
15.673401649601859	4.230273000811152	0.08109340773244575
15.840139965023154	4.218755398943779	0.07995879494820451
16.00687828044445	4.217182495512466	0.06745661652694515
16.17361659586575	4.228220362546436	0.06109537018877613
16.340354911287044	4.238330941097234	0.06977678415225688
16.50709322670834	4.228875919756016	0.08179747638557985
16.673831542129637	4.215983084869359	0.07336267872683967
16.840569857550935	4.222561300070994	0.05989273818407635
17.007308172972227	4.23482949113777	0.061059213865200225
17.174046488393525	4.2376888846621865	0.07386406746428101
17.340784803814824	4.223672203125196	0.07835296310241827
17.507523119236115	4.216982862113254	0.06489357785381501
17.674261434657414	4.227863904312165	0.05621251481359178
17.840999750078712	4.237941392743338	0.0630626296944295
18.007738065500007	4.23197379899693	0.07443344365254834
18.174476380921302	4.219892306904125	0.06970244021141461
18.3412146963426	4.222286215670031	0.057636270588134364
18.507953011763895	4.23180249729168	0.05538805814212387
18.674691327185194	4.2373012830062775	0.06322342884660495
18.84142964260649	4.228200111907005	0.0698238938998165
19.008167958027784	4.220282744673144	0.06049698807858461
19.174906273449082	4.228374974855844	0.05077449373903374
19.34164458887038	4.238205383302611	0.0551202709319565
19.508382904291672	4.235556004957141	0.06513880035681291
19.67512121971297	4.225386834782084	0.06337576276951488
19.84185953513427	4.225568785527752	0.05341537472568757
20.008597850555567	4.233093839357677	0.050393396861035014
20.17533616597686	4.238740087936315	0.055529089233148664
20.342074481398157	4.233545957030207	0.06279529091283498
20.508812796819456	4.225240622151531	0.05771293393041545
20.675551112240747	4.228887231958779	0.0481898495541102
20.842289427662045	4.237939749741973	0.048515462748788526
21.009027743083344	4.24004475942739	0.05737270404778728
21.17576605850464	4.230646528872496	0.06035220561584349
21.342504373925934	4.226377064097821	0.05108827346814235
21.509242689347232	4.233778411587352	0.044915861854181074
21.675981004768527	4.241779371340371	0.04942018280231586
21.842719320189826	4.237557641621916	0.059136788811621994
22.00945763561112	4.227181344994375	0.055081565692967585
22.176195951032415	4.230081301001772	0.04380554194308614
22.342934266453714	4.239818071015875	0.04377900728377722
22.509672581875012	4.241979266537365	0.0521280283048689
22.676410897296304	4.233816272465091	0.05478187836683962
22.843149212717602	4.230316072929045	0.046738053173835475
23.0098875281389	4.236224465316449	0.04174147014670747
23.176625843560196	4.242479775321204	0.043862018611264694
23.34336415898149	4.242396664427455	0.051107510813059476
23.51010247440279	4.234327806802794	0.05125090630440506
23.676840789824084	4.233080098369545	0.04248469036429879
23.84357910524538	4.241218359386098	0.039110487226328344
24.010317420666677	4.246410904211615	0.04583174173400874
24.177055736087972	4.239560666199317	0.05140812141843317
24.34379405150927	4.233655919272513	0.04470606450453166
24.510532366930565	4.239306375026036	0.03842485479647848
24.67727068235186	4.245372057126441	0.04090904278910715
24.84400899777316	4.244965082073544	0.04689714373828637
25.010747313194457	4.238794696946618	0.04725930872250973
25.17748562861575	4.237400665148371	0.04101379508266441
25.344223944037047	4.242462105612928	0.037533140882989396
25.510962259458346	4.2478607687732515	0.04062241317188367
25.67770057487964	4.245241244681193	0.04728105392234904
25.844438890300935	4.238149576858446	0.044613368126633565
26.011177205722234	4.240063371346098	0.03672591891266349
26.17791552114353	4.247504149141417	0.036502165174390325
26.344653836564827	4.2493817545142525	0.04346473058155399
26.511392151986122	4.24226013275265	0.045448910740839316
26.678130467407417	4.239731047863975	0.038153748609019454
26.844868782828716	4.245703260741072	0.0344709103263144
27.011607098250014	4.250419841676834	0.037786872294698876
27.178345413671305	4.248220602477044	0.04298347207332456
27.345083729092604	4.242709717847884	0.04088813141738988
27.511822044513902	4.2439279705554736	0.03478357756542159
27.678560359935194	4.249636231094685	0.03363179196934982
27.845298675356492	4.252826559740184	0.038609815388624624
28.01203699077779	4.247522851789871	0.04242158994617415
28.178775306199086	4.243249915865461	0.03699608292052574
28.34551362162038	4.247977701754712	0.031741329172781385
28.51225193704168	4.253851387352112	0.03435695679943197
28.678990252462974	4.252152091289933	0.04075440569979953
28.845728567884272	4.245611618778289	0.039092660110030056
29.012466883305567	4.246703425967808	0.03220974451914629
29.179205198726862	4.252537655759716	0.03152636523187603
29.34594351414816	4.254748858798775	0.03595839888058831
29.51268182956946	4.250596316363978	0.03846310961271105
29.67942014499075	4.2477825386565495	0.03412290380020825
